frame_index,image_file_name,frame_timestamp_ns,pose_record_index,pose_timestamp_ns,time_delta_ms,image_intrinsics_mode,tracking_state
110,frame_1468041310401835.jpg,1468041310401835,111,1468041310401835,0.000,session_fixed,TRACKING
111,frame_1468041343765897.jpg,1468041343765897,112,1468041343765897,0.000,session_fixed,TRACKING
112,frame_1468041377129960.jpg,1468041377129960,113,1468041377129960,0.000,session_fixed,TRACKING
113,frame_1468041410552702.jpg,1468041410552702,114,1468041410552702,0.000,session_fixed,TRACKING
114,frame_1468041443916765.jpg,1468041443916765,115,1468041443916765,0.000,session_fixed,TRACKING
115,frame_1468041477280827.jpg,1468041477280827,116,1468041477280827,0.000,session_fixed,TRACKING
116,frame_1468041510672866.jpg,1468041510672866,117,1468041510672866,0.000,session_fixed,TRACKING
117,frame_1468041544036928.jpg,1468041544036928,118,1468041544036928,0.000,session_fixed,TRACKING
118,frame_1468041577400991.jpg,1468041577400991,119,1468041577400991,0.000,session_fixed,TRACKING
119,frame_1468041610700424.jpg,1468041610700424,120,1468041610700424,0.000,session_fixed,TRACKING
120,frame_1468041644064487.jpg,1468041644064487,121,1468041644064487,0.000,session_fixed,TRACKING
121,frame_1468041677428549.jpg,1468041677428549,122,1468041677428549,0.000,session_fixed,TRACKING
122,frame_1468041710821730.jpg,1468041710821730,123,1468041710821730,0.000,session_fixed,TRACKING
123,frame_1468041744185792.jpg,1468041744185792,124,1468041744185792,0.000,session_fixed,TRACKING
124,frame_1468041777549803.jpg,1468041777549803,125,1468041777549803,0.000,session_fixed,TRACKING
125,frame_1468041810957166.jpg,1468041810957166,126,1468041810957166,0.000,session_fixed,TRACKING
126,frame_1468041844321229.jpg,1468041844321229,127,1468041844321229,0.000,session_fixed,TRACKING
127,frame_1468041877685239.jpg,1468041877685239,128,1468041877685239,0.000,session_fixed,TRACKING
128,frame_1468041911023485.jpg,1468041911023485,129,1468041911023485,0.000,session_fixed,TRACKING
129,frame_1468041944387548.jpg,1468041944387548,130,1468041944387548,0.000,session_fixed,TRACKING
130,frame_1468041977751558.jpg,1468041977751558,131,1468041977751558,0.000,session_fixed,TRACKING
131,frame_1468042011149481.jpg,1468042011149481,132,1468042011149481,0.000,session_fixed,TRACKING
132,frame_1468042044513543.jpg,1468042044513543,133,1468042044513543,0.000,session_fixed,TRACKING
133,frame_1468042077877554.jpg,1468042077877554,134,1468042077877554,0.000,session_fixed,TRACKING
134,frame_1468042111308687.jpg,1468042111308687,135,1468042111308687,0.000,session_fixed,TRACKING
135,frame_1468042144672750.jpg,1468042144672750,136,1468042144672750,0.000,session_fixed,TRACKING
136,frame_1468042178036760.jpg,1468042178036760,137,1468042178036760,0.000,session_fixed,TRACKING
137,frame_1468042211365421.jpg,1468042211365421,138,1468042211365421,0.000,session_fixed,TRACKING
138,frame_1468042244729431.jpg,1468042244729431,139,1468042244729431,0.000,session_fixed,TRACKING
139,frame_1468042278093494.jpg,1468042278093494,140,1468042278093494,0.000,session_fixed,TRACKING
140,frame_1468042311456808.jpg,1468042311456808,141,1468042311456808,0.000,session_fixed,TRACKING
141,frame_1468042344820819.jpg,1468042344820819,142,1468042344820819,0.000,session_fixed,TRACKING
142,frame_1468042378184881.jpg,1468042378184881,143,1468042378184881,0.000,session_fixed,TRACKING
143,frame_1468042411544785.jpg,1468042411544785,144,1468042411544785,0.000,session_fixed,TRACKING
144,frame_1468042444908795.jpg,1468042444908795,145,1468042444908795,0.000,session_fixed,TRACKING
145,frame_1468042478272857.jpg,1468042478272857,146,1468042478272857,0.000,session_fixed,TRACKING
146,frame_1468042511584265.jpg,1468042511584265,147,1468042511584265,0.000,session_fixed,TRACKING
147,frame_1468042544948275.jpg,1468042544948275,148,1468042544948275,0.000,session_fixed,TRACKING
148,frame_1468042578312338.jpg,1468042578312338,149,1468042578312338,0.000,session_fixed,TRACKING
149,frame_1468042611763442.jpg,1468042611763442,150,1468042611763442,0.000,session_fixed,TRACKING
150,frame_1468042645127453.jpg,1468042645127453,151,1468042645127453,0.000,session_fixed,TRACKING
151,frame_1468042678491515.jpg,1468042678491515,152,1468042678491515,0.000,session_fixed,TRACKING
152,frame_1468042711820295.jpg,1468042711820295,153,1468042711820295,0.000,session_fixed,TRACKING
153,frame_1468042745184305.jpg,1468042745184305,154,1468042745184305,0.000,session_fixed,TRACKING
154,frame_1468042778548368.jpg,1468042778548368,155,1468042778548368,0.000,session_fixed,TRACKING
155,frame_1468042811867072.jpg,1468042811867072,156,1468042811867072,0.000,session_fixed,TRACKING
156,frame_1468042845231135.jpg,1468042845231135,157,1468042845231135,0.000,session_fixed,TRACKING
157,frame_1468042878595197.jpg,1468042878595197,158,1468042878595197,0.000,session_fixed,TRACKING
158,frame_1468042911932005.jpg,1468042911932005,159,1468042911932005,0.000,session_fixed,TRACKING
159,frame_1468042945296067.jpg,1468042945296067,160,1468042945296067,0.000,session_fixed,TRACKING
160,frame_1468042978660130.jpg,1468042978660130,161,1468042978660130,0.000,session_fixed,TRACKING
161,frame_1468043011943591.jpg,1468043011943591,162,1468043011943591,0.000,session_fixed,TRACKING
162,frame_1468043045307653.jpg,1468043045307653,163,1468043045307653,0.000,session_fixed,TRACKING
163,frame_1468043078671716.jpg,1468043078671716,164,1468043078671716,0.000,session_fixed,TRACKING
164,frame_1468043107846205.jpg,1468043107846205,165,1468043107846205,0.000,session_fixed,TRACKING
165,frame_1468043141210268.jpg,1468043141210268,166,1468043141210268,0.000,session_fixed,TRACKING
166,frame_1468043174574330.jpg,1468043174574330,167,1468043174574330,0.000,session_fixed,TRACKING
167,frame_1468043207932366.jpg,1468043207932366,168,1468043207932366,0.000,session_fixed,TRACKING
168,frame_1468043241296428.jpg,1468043241296428,169,1468043241296428,0.000,session_fixed,TRACKING
169,frame_1468043274660491.jpg,1468043274660491,170,1468043274660491,0.000,session_fixed,TRACKING
170,frame_1468043308033034.jpg,1468043308033034,171,1468043308033034,0.000,session_fixed,TRACKING
171,frame_1468043341397097.jpg,1468043341397097,172,1468043341397097,0.000,session_fixed,TRACKING
172,frame_1468043374761107.jpg,1468043374761107,173,1468043374761107,0.000,session_fixed,TRACKING
173,frame_1468043408112046.jpg,1468043408112046,174,1468043408112046,0.000,session_fixed,TRACKING
174,frame_1468043441476108.jpg,1468043441476108,175,1468043441476108,0.000,session_fixed,TRACKING
175,frame_1468043474840119.jpg,1468043474840119,176,1468043474840119,0.000,session_fixed,TRACKING
176,frame_1468043508235502.jpg,1468043508235502,177,1468043508235502,0.000,session_fixed,TRACKING
177,frame_1468043541599565.jpg,1468043541599565,178,1468043541599565,0.000,session_fixed,TRACKING
178,frame_1468043574963575.jpg,1468043574963575,179,1468043574963575,0.000,session_fixed,TRACKING
179,frame_1468043608255478.jpg,1468043608255478,180,1468043608255478,0.000,session_fixed,TRACKING
180,frame_1468043641619541.jpg,1468043641619541,181,1468043641619541,0.000,session_fixed,TRACKING
181,frame_1468043674983551.jpg,1468043674983551,182,1468043674983551,0.000,session_fixed,TRACKING
182,frame_1468043708372821.jpg,1468043708372821,183,1468043708372821,0.000,session_fixed,TRACKING
183,frame_1468043741736831.jpg,1468043741736831,184,1468043741736831,0.000,session_fixed,TRACKING
184,frame_1468043775100894.jpg,1468043775100894,185,1468043775100894,0.000,session_fixed,TRACKING
185,frame_1468043808477967.jpg,1468043808477967,186,1468043808477967,0.000,session_fixed,TRACKING
186,frame_1468043841841978.jpg,1468043841841978,187,1468043841841978,0.000,session_fixed,TRACKING
187,frame_1468043875206040.jpg,1468043875206040,188,1468043875206040,0.000,session_fixed,TRACKING
188,frame_1468043908529494.jpg,1468043908529494,189,1468043908529494,0.000,session_fixed,TRACKING
189,frame_1468043941893504.jpg,1468043941893504,190,1468043941893504,0.000,session_fixed,TRACKING
190,frame_1468043975257567.jpg,1468043975257567,191,1468043975257567,0.000,session_fixed,TRACKING
191,frame_1468044008566291.jpg,1468044008566291,192,1468044008566291,0.000,session_fixed,TRACKING
192,frame_1468044041930302.jpg,1468044041930302,193,1468044041930302,0.000,session_fixed,TRACKING
193,frame_1468044075294364.jpg,1468044075294364,194,1468044075294364,0.000,session_fixed,TRACKING
194,frame_1468044108650475.jpg,1468044108650475,195,1468044108650475,0.000,session_fixed,TRACKING
195,frame_1468044142014485.jpg,1468044142014485,196,1468044142014485,0.000,session_fixed,TRACKING
196,frame_1468044175378547.jpg,1468044175378547,197,1468044175378547,0.000,session_fixed,TRACKING
197,frame_1468044208774216.jpg,1468044208774216,198,1468044208774216,0.000,session_fixed,TRACKING
198,frame_1468044242138278.jpg,1468044242138278,199,1468044242138278,0.000,session_fixed,TRACKING
199,frame_1468044275502341.jpg,1468044275502341,200,1468044275502341,0.000,session_fixed,TRACKING
200,frame_1468044308901183.jpg,1468044308901183,201,1468044308901183,0.000,session_fixed,TRACKING
201,frame_1468044342265246.jpg,1468044342265246,202,1468044342265246,0.000,session_fixed,TRACKING
202,frame_1468044375629308.jpg,1468044375629308,203,1468044375629308,0.000,session_fixed,TRACKING
203,frame_1468044408938476.jpg,1468044408938476,204,1468044408938476,0.000,session_fixed,TRACKING
204,frame_1468044442302538.jpg,1468044442302538,205,1468044442302538,0.000,session_fixed,TRACKING
205,frame_1468044475666601.jpg,1468044475666601,206,1468044475666601,0.000,session_fixed,TRACKING
206,frame_1468044508994205.jpg,1468044508994205,207,1468044508994205,0.000,session_fixed,TRACKING
207,frame_1468044542358268.jpg,1468044542358268,208,1468044542358268,0.000,session_fixed,TRACKING
208,frame_1468044575722330.jpg,1468044575722330,209,1468044575722330,0.000,session_fixed,TRACKING
209,frame_1468044609146288.jpg,1468044609146288,210,1468044609146288,0.000,session_fixed,TRACKING
210,frame_1468044642510350.jpg,1468044642510350,211,1468044642510350,0.000,session_fixed,TRACKING
211,frame_1468044675874360.jpg,1468044675874360,212,1468044675874360,0.000,session_fixed,TRACKING
212,frame_1468044709240302.jpg,1468044709240302,213,1468044709240302,0.000,session_fixed,TRACKING
213,frame_1468044742604364.jpg,1468044742604364,214,1468044742604364,0.000,session_fixed,TRACKING
214,frame_1468044775968375.jpg,1468044775968375,215,1468044775968375,0.000,session_fixed,TRACKING
215,frame_1468044809380458.jpg,1468044809380458,216,1468044809380458,0.000,session_fixed,TRACKING
216,frame_1468044842744521.jpg,1468044842744521,217,1468044842744521,0.000,session_fixed,TRACKING
217,frame_1468044876108531.jpg,1468044876108531,218,1468044876108531,0.000,session_fixed,TRACKING
218,frame_1468044909503927.jpg,1468044909503927,219,1468044909503927,0.000,session_fixed,TRACKING
219,frame_1468044942867989.jpg,1468044942867989,220,1468044942867989,0.000,session_fixed,TRACKING
220,frame_1468044976232000.jpg,1468044976232000,221,1468044976232000,0.000,session_fixed,TRACKING
221,frame_1468045009578661.jpg,1468045009578661,222,1468045009578661,0.000,session_fixed,TRACKING
222,frame_1468045042942724.jpg,1468045042942724,223,1468045042942724,0.000,session_fixed,TRACKING
223,frame_1468045076306734.jpg,1468045076306734,224,1468045076306734,0.000,session_fixed,TRACKING
224,frame_1468045109647532.jpg,1468045109647532,225,1468045109647532,0.000,session_fixed,TRACKING
225,frame_1468045143011594.jpg,1468045143011594,226,1468045143011594,0.000,session_fixed,TRACKING
226,frame_1468045176375605.jpg,1468045176375605,227,1468045176375605,0.000,session_fixed,TRACKING
227,frame_1468045209736798.jpg,1468045209736798,228,1468045209736798,0.000,session_fixed,TRACKING
228,frame_1468045243100808.jpg,1468045243100808,229,1468045243100808,0.000,session_fixed,TRACKING
229,frame_1468045276464871.jpg,1468045276464871,230,1468045276464871,0.000,session_fixed,TRACKING
230,frame_1468045309924307.jpg,1468045309924307,231,1468045309924307,0.000,session_fixed,TRACKING
231,frame_1468045343288318.jpg,1468045343288318,232,1468045343288318,0.000,session_fixed,TRACKING
232,frame_1468045376652380.jpg,1468045376652380,233,1468045376652380,0.000,session_fixed,TRACKING
233,frame_1468045409947436.jpg,1468045409947436,234,1468045409947436,0.000,session_fixed,TRACKING
234,frame_1468045443311446.jpg,1468045443311446,235,1468045443311446,0.000,session_fixed,TRACKING
235,frame_1468045476675509.jpg,1468045476675509,236,1468045476675509,0.000,session_fixed,TRACKING
236,frame_1468045510065036.jpg,1468045510065036,237,1468045510065036,0.000,session_fixed,TRACKING
237,frame_1468045543429047.jpg,1468045543429047,238,1468045543429047,0.000,session_fixed,TRACKING
238,frame_1468045576793109.jpg,1468045576793109,239,1468045576793109,0.000,session_fixed,TRACKING
239,frame_1468045610261447.jpg,1468045610261447,240,1468045610261447,0.000,session_fixed,TRACKING
240,frame_1468045643625457.jpg,1468045643625457,241,1468045643625457,0.000,session_fixed,TRACKING
241,frame_1468045676989520.jpg,1468045676989520,242,1468045676989520,0.000,session_fixed,TRACKING
242,frame_1468045710420891.jpg,1468045710420891,243,1468045710420891,0.000,session_fixed,TRACKING
243,frame_1468045743784954.jpg,1468045743784954,244,1468045743784954,0.000,session_fixed,TRACKING
