sensor_type,event_timestamp_ns,elapsed_realtime_ns,wall_time_ms,x,y,z,accuracy
android.sensor.accelerometer,1468037694014531,1468037701814980,1775212845560,0.23569304,9.096315,3.949952,3
android.sensor.gyroscope,1468037700047239,1468037706376438,1775212845565,-0.04367683,-0.0876591,-0.09040799,3
android.sensor.accelerometer,1468037722507968,1468037730555709,1775212845589,0.13280165,9.230313,4.0145583,3
android.sensor.gyroscope,1468037723791770,1468037730663626,1775212845589,-0.014355322,-0.065667965,-0.040317077,3
android.sensor.gyroscope,1468037747536354,1468037754093209,1775212845613,0.023518294,-0.07910699,-0.020769402,3
android.sensor.accelerometer,1468037751001458,1468037760248626,1775212845619,0.3505485,9.038888,4.0384865,3
android.sensor.gyroscope,1468037771280885,1468037777937115,1775212845636,0.022296565,-0.14385866,-0.05986475,3
android.sensor.accelerometer,1468037779494895,1468037787697688,1775212845646,0.4869394,9.072387,3.4474592,3
android.sensor.gyroscope,1468037795025416,1468037801557740,1775212845660,-0.04734202,-0.07299834,-0.07696896,3
android.sensor.accelerometer,1468037807988333,1468037815962219,1775212845674,0.29790643,9.129815,3.7250266,3
android.sensor.gyroscope,1468037818769947,1468037825786230,1775212845684,-0.07422007,-0.041233372,-0.056199558,3
android.sensor.accelerometer,1468037836481770,1468037844530553,1775212845703,0.39601216,8.892925,4.2514477,3
android.sensor.gyroscope,1468037842514479,1468037849505344,1775212845708,0.046731155,-0.05589413,-0.07208204,3
android.sensor.gyroscope,1468037866259062,1468037872771126,1775212845731,0.016187917,-0.123089254,-0.091629714,3
android.sensor.accelerometer,1468037864975260,1468037872934563,1775212845731,0.317049,8.959925,3.6843486,3
android.sensor.gyroscope,1468037890003593,1468037896627532,1775212845755,-0.10476331,-0.12797616,-0.10262528,3
android.sensor.accelerometer,1468037893468697,1468037901420501,1775212845760,0.4438686,8.969496,4.08395,3
android.sensor.gyroscope,1468037913748125,1468037920609771,1775212845779,-0.010690134,-0.0876591,-0.12583815,3
android.sensor.accelerometer,1468037921962135,1468037930234980,1775212845789,0.19262223,9.0747795,4.1629133,3
android.sensor.gyroscope,1468037937492656,1468037944046438,1775212845803,0.0027488915,-0.07666353,-0.07941242,3
android.sensor.accelerometer,1468037950455572,1468037958712428,1775212845817,0.06819545,9.134601,3.6747773,3
android.sensor.gyroscope,1468037961237187,1468037968549355,1775212845827,-0.07910699,-0.04367683,-0.035430156,3
android.sensor.accelerometer,1468037978949062,1468037986942063,1775212845845,0.47258246,9.0029955,4.4691944,3
android.sensor.gyroscope,1468037984981770,1468037991896438,1775212845850,0.0051923506,-0.08888082,-0.074525505,3
android.sensor.gyroscope,1468038008726302,1468038015567636,1775212845874,0.06017018,-0.1414152,-0.13316852,3
android.sensor.accelerometer,1468038007442500,1468038015671490,1775212845874,0.3912265,9.180064,3.8925242,3
android.sensor.gyroscope,1468038027721927,1468038035702532,1775212845894,-0.042455103,-0.124310985,-0.092851445,3
android.sensor.accelerometer,1468038026438125,1468038035785761,1775212845894,0.21894327,9.194421,3.5838501,3
android.sensor.gyroscope,1468038051466510,1468038058369407,1775212845917,-0.033902995,-0.06811142,-0.062308207,3
